STRUCTURE_SMILES,ActivityOutcome_CPDBAS_MultiCellCall
OC(C(C=CC=C1)=C1S(N2C)(=O)=O)=C2C(NC3=NC=C(C)S3)=O,non-carcinogenic
C(C(F)(Cl)Cl)(F)(F)Cl,non-carcinogenic
O=C1NCCN1,non-carcinogenic
C(C(C)O)(O[Ca]OC(C(C)O)=O)=O,non-carcinogenic
[O-][N+](=O)C1=C(Cl)C(=C(Cl)C(=C1)[N+]([O-])=O)Cl,non-carcinogenic
O=C1N(C2=CC=CC=C2)N=C(C1)C,non-carcinogenic
O=C1N2C(C3=C(C=CC=C3)CC2)CN(C1)C(=O)C4CCCCC4,non-carcinogenic
ClCC(=O)C1=CC=C(NC(=O)C)C=C1,non-carcinogenic
O=C2C1=C(CCC2)C(OC[C@@H](O)CNC(C)(C)C)=CC=C1.Cl,non-carcinogenic
OC(=O)CCC(=O)OCC2(CCCC)C(=O)N(c1ccccc1)N(C2=O)c3ccccc3,non-carcinogenic
CCCC1=CC2=C(C=C1COCCOCCOCCCC)OCO2,non-carcinogenic
O=C2C1=C(N=CN2)N([C@@H]3O[C@H](COP([O-])([O-])=O)[C@@H](O)[C@H]3O)C=N1.[Na+].[Na+],non-carcinogenic
O=C(C1=CC=C(C=C1)C(=O)OC)OC,non-carcinogenic
O=C1OC(=O)CC1,non-carcinogenic
O=C([C@H](CO)[C@]2=CC=CC=C2)O[C@@H]1C[C@H](N4C)[C@@H](O3)[C@@H]3[C@@H]4C1.Br.O.O.O,non-carcinogenic
C(=O)(/C=C/C)OC1=C(C(CCCCCC)C)C=C(C=C1[N+]([O-])=O)[N+]([O-])=O,non-carcinogenic
FC(C(F)Cl)(OC(F)F)F,non-carcinogenic
O=S(O)(O)=O.C1(=CC=CC=C1CC(N)C).C2=CC=CC=C2CC(N)C,non-carcinogenic
C[N+](CCC(C1=CC=C(C=C1)Cl)C2=NC=CC=C2)C.C(\C(=C(/C(=O)[O-])[H])[H])(=O)O,non-carcinogenic
O=C1CCCCC1,non-carcinogenic
CCCC[Sn](O[Sn](CCCC)(CCCC)CCCC)(CCCC)CCCC,non-carcinogenic
CNC1=NC=NC2=C1N=CN2,non-carcinogenic
N1C2=C(C=CC=C2)N=N1,non-carcinogenic
O=C1C2=C(N=CN2C)N(C(=O)N1C)C,non-carcinogenic
O.[Na+].O.O.CCN(CC)C([S-])=S,non-carcinogenic
O=C(/C=C/C6=CC=C(O)C(OC)=C6)O[C@@H]4C(C)(C)[C@@]5([H])[C@]1(CC4)[C@]3([C@](CC5)([H])[C@]2(C)CC[C@@]([C@H](C)CC/C=C(C)\C)([H])[C@](C)2CC3)C1,non-carcinogenic
C(C1=CC=C(C=C1)O)(=O)OCCCC,non-carcinogenic
O=C1N(C2=CC=CC=C2)N(C(=C1N(C)C)C)C,non-carcinogenic
C1(=C(C=CC(=C1)N(CCO)CCO)NCCO)[N+]([O-])=O,non-carcinogenic
O=C1CCCO1,non-carcinogenic
O=C1CCCCCN1,non-carcinogenic
C(C1=CC=CC=C1)(C2=CC=CC=C2)OCCN(C)C.[H]Cl,non-carcinogenic
C1(=C(/C=C/C2=C(S(=O)(=O)[O-])C=C(C=C2)N)C=CC(=C1)N)S(=O)(=O)[O-].[Na+].[Na+],non-carcinogenic
Cl.CC(C)(C)NCC(O)COc1cccc(C)c1C,non-carcinogenic
OCC(=O)[C@@]3(O)CC[C@H]2[C@@H]4CC\C1=C\C(=O)/C=C\[C@]1(C)[C@H]4C(=O)C[C@@]23C,non-carcinogenic
Cl.CC3CCCC(C)N3CCCC(O)(c1ccccc1)c2ccccn2,non-carcinogenic
[H][C@@]12[C@]([H])(NC([C@H](N)C3=CC=CC=C3)=O)C(N1[C@@H]([C@@](O)=O)C(C)(C)S2)=O.O.O.O,non-carcinogenic
S=C(N(C)C)SSC(=S)N(C)C,non-carcinogenic
Cl.CC(C)(C)NCC(O)CO/C1=C/N(C)C(=O)c2ccccc12,non-carcinogenic
OCC(=O)[C@@]2(O)CC[C@H]3[C@@H]4CC\C1=C\C(=O)CC[C@]1(C)[C@H]4[C@@H](O)C[C@]23C,non-carcinogenic
OC2=CC1=C(C(O)=C2)C(C(O[C@@H]4O[C@@H]([C@H]([C@H](O)[C@H]4O)O)CO[C@H]3[C@H](O)[C@H](O)[C@H]([C@H](C)O3)O)=C(C5=CC(O)=C(C=C5)O)O1)=O.O=S(O)(O)=O,non-carcinogenic
Cl.O=P1(OCC(C)(C)CO1)C\4=C(/C)NC(/C)=C(/C(=O)OCCN(Cc2ccccc2)c3ccccc3)C/4c5cccc(c5)[N+]([O-])=O.CCO,non-carcinogenic
[As]21O[As]3O[As](O1)O[As](O2)O3,non-carcinogenic
OS(O)(=O)=O.OCCN(CCO)c1ccc(N)cc1,non-carcinogenic
[Cd+2].[O-]C(C)=O.[O-]C(C)=O,non-carcinogenic
N1=C(SSC2=NC3=C(C=CC=C3)S2)SC4=C1C=CC=C4,non-carcinogenic
OCC1=CC=CC=C1,non-carcinogenic
O=S(=O)(C1=C(C=CC=C1)/C(=C2\C=C/C(=[N+](/CC3=CC(=CC=C3)S(=O)(=O)[O-])CC)C=C2)C4=CC=C(C=C4)N(CC5=CC(=CC=C5)S(=O)(=O)[O-])CC)[O-].[Na+].[Na+],non-carcinogenic
[Fe+3].O=C([O-])CC(O)(CC(=O)[O-])C([O-])=O.O.O.O.O,non-carcinogenic
OC2=C1[C@@](C=C(C)CC3)([H])[C@]3([H])C(C)(C)OC1=CC(CCCCC)=C2,non-carcinogenic
OC1=CC(C2=NC(N(C(C)C)C3=C2C=CC(C)=C3)=O)=CC=C1,non-carcinogenic
Cl[O-].[Na+],non-carcinogenic
NC1=C2C(=NC(=N1)N)N=CC(=N2)CN(C3=CC=C(C=C3)C(=O)N[C@@H](CCC(=O)O)C(=O)O)C,non-carcinogenic
CC2=CC1=CC=CC=C1C=C2,non-carcinogenic
OC1=C(C=CC(=C1)O)CCCCCC,non-carcinogenic
Cl/C2=C(\Cl)C3(Cl)C1C(Cl)OC(Cl)C1C2(Cl)C3(Cl)Cl,non-carcinogenic
OC1=CC(=CC=C1)O,non-carcinogenic
OC(=O)CC[N+](=O)[O-],non-carcinogenic
OC1=CC=CC2=CC=CN=C12,non-carcinogenic
OC1=CC=CC=C1,non-carcinogenic
Oc1ccc(C[C@](C)(N)C(O)=O)cc1O.OC(=O)[C@@](C)(N)Cc1cc(O)c(O)cc1.O.O.O,non-carcinogenic
O=C1C2=C(C=CC=C2)C(=O)O1,non-carcinogenic
O=[As](O)(O)[O-].[Na+],non-carcinogenic
OC1=CC=C(C=C1)OCC2=CC=CC=C2,non-carcinogenic
O=C1c2c(O)cc(C)cc2C(=O)c3cc(O)cc(O)c13,non-carcinogenic
O=[N+](CC)[O-],non-carcinogenic
Cl.Cl.[O-][N+](=O)c1cccc(c1)C/2C(\C(=O)OC)=C(\C)NC(\C)=C\2C(=O)OCCN3CCN(CC3)C(c4ccccc4)c5ccccc5,non-carcinogenic
S=C1NC=NC2=C1N=CN2,non-carcinogenic
S=C=NC1=CC=CC=C1,non-carcinogenic
.[K+].[Cl-],non-carcinogenic
O=C(NC3=CC2=C(C=C3)C1=CC=C(NC(C)=O)C=C1C2)C,non-carcinogenic
S=C(S[Pb]SC(N(C)C)=S)N(C)C,non-carcinogenic
OC(=O)C1=C(C=CC=C1)OC(=O)C,non-carcinogenic
S=C(S[Te](SC(=S)N(CC)CC)(SC(=S)N(CC)CC)SC(=S)N(CC)CC)N(CC)CC,non-carcinogenic
.[Na+].[Cl-],non-carcinogenic
S=P(SC1C(SP(=S)(OCC)OCC)OCCO1)(OCC)OCC,non-carcinogenic
S=P(OC1=NC(=NC(=C1)C)C(C)C)(OCC)OCC,non-carcinogenic
S1C=CC(=C1)CN(C2=NC=CC=C2)CCN(C)C,non-carcinogenic
S=P(SCC(=O)NC)(OC)OC,non-carcinogenic
S=P(OC1=CC=C(C=C1)[N+](=O)[O-])(OC)OC,non-carcinogenic
S=P(OC1=CC(=C(C=C1)SC)C)(OC)OC,non-carcinogenic
S=P(OC1=NC(=C(C=C1Cl)Cl)Cl)(OCC)OCC,non-carcinogenic
O=C(NC)OC1=CC=CC(C2)=C1OC2(C)C,non-carcinogenic
S=C(NC1CCCCC1)NC1CCCCC1,non-carcinogenic
S=C([S-])N(CCCC)CCCC.[S-]C(N(CCCC)CCCC)=S.[Zn+2],non-carcinogenic
S=C([S-])N(CC)CC.[S-]C(N(CC)CC)=S.[Zn+2],non-carcinogenic
ClC1=C(C=C(C(=C1)Cl)Cl)OCC(=O)O,non-carcinogenic
S=C([S-])NCCNC([S-])=S.[Zn+2],non-carcinogenic
S(=O)(=O)(c1ccc(Cl)cc1)c2ccc(Cl)cc2,non-carcinogenic
CC1=C2C(=CC=C1)C=CC=C2,non-carcinogenic
CC(CO)O,non-carcinogenic
S=C([S-])N(C)C.[S-]C(N(C)C)=S.[Cu+2],non-carcinogenic
S=C(N(CCCC)CCCC)S[Ni]SC(=S)N(CCCC)CCCC,non-carcinogenic
CC1=C(C(=CC(=C1)OC(=O)NC)C)N(C)C,non-carcinogenic
O=S1(=O)CC=CC1,non-carcinogenic
C1(SC2=C(C(=CC(=C2)Cl)Cl)[O-])(=C(C(=CC(=C1)Cl)Cl)[O-]).[Na+].[Na+],non-carcinogenic
Cl.CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N2Cc3ccccc3C[C@H]2C(O)=O,non-carcinogenic
S=C(N(C)C)SC(=S)N(C)C,non-carcinogenic
OCCNC1=C(OCCO)C=C([N+]([O-])=O)C=C1,non-carcinogenic
OC2=CC1=C(C(O)=C2)C(C(O[C@@H]4O[C@@H]([C@H]([C@H](O)[C@H]4O)O)CO[C@H]3[C@H](O)[C@H](O)[C@H]([C@H](C)O3)O)=C(C5=CC(O)=C(C=C5)O)O1)=O,non-carcinogenic
Cl\C2=C(/Cl)C3(Cl)C1C4CC(C1C2(Cl)C3(Cl)Cl)C5OC45,non-carcinogenic
CC1=CC(NC2=C1C=C(C=C2)OCC)(C)C,non-carcinogenic
C1=C(C=CC(=C1)C(C2=CC=C(N)C(=C2)C)=C3C=CC(=N)C=C3)N.[H]Cl,non-carcinogenic
OC(=O)C1=CC=NC=C1,non-carcinogenic
C1=CC=C(NC(=O)C(/N=N/C2=C(Cl)C=C(C3=CC(Cl)=C(/N=N/C(C(=O)NC4=CC=CC=C4)C(=O)C)C=C3)C=C2)C(=O)C)C=C1,non-carcinogenic
ClC([N+](=O)[O-])(Cl)Cl,non-carcinogenic
OC(CNC(C)C)C1=CC=C(NS(=O)(C)=O)C=C1.[H]Cl,non-carcinogenic
OC(=O)C=CC=CC,non-carcinogenic
OC(=O)C=C,non-carcinogenic
O=C(C1=CC=C(C=C1)N)NC2=CC=C(C=C2)N,non-carcinogenic
O=C2C=1/N=C\NC=1N(C)C(=O)N2C,non-carcinogenic
OC(=O)CCl,non-carcinogenic
[O-][N+](/C=C/C1=CC=CC=C1)=O,non-carcinogenic
CCCOC(=O)[CH]1[CH](C)CC2=C(C=C3OCOC3=C2)[CH]1C(=O)OCCC,non-carcinogenic
OC(=O)C1=NN(C2=C1C=CC=C2)CC3=CC=C(C=C3Cl)Cl,non-carcinogenic
OC(=O)CC1=CNC2=C1C=CC=C2,non-carcinogenic
OC(=O)CC1=C2C(=CC=C1)C=CC=C2,non-carcinogenic
OC(=O)\C=C/C(O)=O.C(C(C1CCCCC1)C2CCCCC2)C3CCCCN3,non-carcinogenic
NC1=C(C=CC=C1)C(=O)O,non-carcinogenic
[O-][N+](C)(C)CCCCCCCCCC,non-carcinogenic
O=S(O)(O)=O.O[C@@H]([C@H](C)NC)[C@@]1=CC=CC=C1.O[C@@H]([C@H](C)NC)[C@@]2=CC=CC=C2,non-carcinogenic
C(C1C=CC(=CC=1)O)(C2=CC=C(C=C2)O)(C)C,non-carcinogenic
O=C1C(NC(=O)N1)NC(=O)N,non-carcinogenic
[O-][N+](C1=CC([N+]([O-])=O)=CC([N+]([O-])=O)=C1)=O,non-carcinogenic
O=S(C1=CC=C(C(C)CCCCCCCCCC)C=C1)([O-])=O.[Na+],non-carcinogenic
CC(=O)O[C@H]1[C@@H]([C@H](O[C@H]([C@@H]1OC(=O)C)COC(=O)C)S[Au]=P(CC)(CC)CC)OC(=O)C,non-carcinogenic
OB(O)O,non-carcinogenic
O1C2=C(C=CC=C2)OC3=CC=CC=C13,non-carcinogenic
OC(=O)[C@@H]3[C@]51C[C@@](O)(CC[C@H]1[C@@]24\C=C/[C@H](O)[C@@](C)(C(=O)O2)[C@@H]34)C(=C)C5,non-carcinogenic
[O-][N+](=O)C1=CC=CC(=C1)NC(=O)C2=CC3=CC=CC=C3C(=C2O)/N=N/C4=CC(=CC=C4OC)[N+]([O-])=O,non-carcinogenic
[Be+2].O=S(=O)([O-])[O-],non-carcinogenic
[Na+].[As](=O)[O-],non-carcinogenic
C1(=CC(=CC=C1N)OC)OC.[H]Cl,non-carcinogenic
OC(OC(O)CC)CC,non-carcinogenic
CC(C)NCC(O)COc1ccc(cc1)NC(C)=O,non-carcinogenic
OC1=C(C=C(C(=C1CC2=C(C(=CC(=C2Cl)Cl)Cl)O)Cl)Cl)Cl,non-carcinogenic
[Na+].[O-]C(=O)[C@@H](N)CC(O)=O,non-carcinogenic
[O-]C1=C(I)C=C(C(C2=C(C([O-])=O)C=CC=C2)=C3C=C(C(C(I)=C3O4)=O)I)C4=C1I.[Na+].[Na+],non-carcinogenic
CC(C)C=O,non-carcinogenic
OC1(=C(O)C(=O)O[C@H]1[C@@H](C[O-])O).[Na+],non-carcinogenic
C1(=C(C=C(N)C=C1)[N+](=O)[O-])NCCO,non-carcinogenic
ClC1(C(=C(C(=C1Cl)Cl)Cl)Cl)Cl,non-carcinogenic
C1=CC=CC(=C1)C(C(C2=CC=CC=C2)=O)O,non-carcinogenic
OC1=C(C=C(C=C1C(CC)C)[N+](=O)[O-])[N+](=O)[O-],non-carcinogenic
OC1=C(C=C(C=C1C(C)(C)C)CO)C(C)(C)C,non-carcinogenic
CC(CC1=CC=CC=C1)NN.[H]Cl,non-carcinogenic
O.O.O.O.NC(=O)[C@@H]3CCCN3C(=O)[C@@H](NC(=O)[C@@H]1CC(=O)N(C)C(=O)N1)C\C2=C\N=C/N2,non-carcinogenic
OC1=C(C=C(C=C1C(C)(C)C)C(C)(C)C)C(C)(C)C,non-carcinogenic
[Na+].[N-]=[N+]=[N-],non-carcinogenic
O=[Ti]=O,non-carcinogenic
[Na+].[F-],non-carcinogenic
BrC(C(=O)NC(=O)N)(CC)CC,non-carcinogenic
[Cd+2].[Cl-].[Cl-].[H]O[H],non-carcinogenic
O[As](=O)(C1=CC=C(C=C1)NC(=O)N)O,non-carcinogenic
C12=C(C=CC(=C1)C(CNC(C)C)O)C=CC=C2.[H]Cl,non-carcinogenic
OC(CC(C1)C)C(C1)C(C)C,non-carcinogenic
[Na+].O=C([O-])[C@@H](N)CCC(O)=O,non-carcinogenic
N[C@@H](C\C1=C\N=C/N1)C(O)=O.Cl,non-carcinogenic
OC(C)CCl,non-carcinogenic
OC(C)C,non-carcinogenic
O=C1N(C2=CC=C(C=C2C(=NC1)C3=CC=CC=C3)Cl)CC4CC4,non-carcinogenic
C1CNCCN1,non-carcinogenic
OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)CO[C@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,non-carcinogenic
OC[C@@H](NC(C(Cl)Cl)=O)[C@H](O)C1=CC=C(S(=O)(C)=O)C=C1,non-carcinogenic
OC(CNC(C)C)COC1=CC=CC=C1OCC=C.Cl,non-carcinogenic
[Na+].C1(=CC=C2C(=C1S([O-])(=O)=O)C=CC=C2)/N=N/C3=C(C=CC4=C3C=CC=C4)O,non-carcinogenic
O=C(OC)C1=C(C)NC(C)=C(C(OCC(C)(C)CN(CC3=CC=CC=C3)C)=O)C1C2=CC([N+]([O-])=O)=CC=C2F.Cl,non-carcinogenic
OC(CO)CCl,non-carcinogenic
NC1=CC(=CC=C1)N,non-carcinogenic
C1=CC=C(C(C(=O)OC)C2N(N=O)CCCC2)C=C1,non-carcinogenic
CCC1(C2=C(C3=C(C(=CC=C3)CC)N2)CCO1)CC(=O)O,non-carcinogenic
S=C(N(CC)CC)SSC(=S)N(CC)CC,non-carcinogenic
NC(=S)NNC(=S)N,non-carcinogenic
OC(=O)C1=CC=CN=C1,non-carcinogenic
CC(=O)[O-].[O-]C(=O)C.[O-]C(=O)C.[Cr+3],non-carcinogenic
C1=CC=C(C(OC)C(=O)O)C=C1,non-carcinogenic
C1=C(Cl)C=C3C(=C1)N(CCO)C(=O)C(O)N=C3C2=CC=CC=C2F,non-carcinogenic
C1=C(Cl)C=C3C(=C1)N4C(CN=C3C2=CC=CC=C2)=NN=C4,non-carcinogenic
ClCC/C(C2=CC=CC=C2)=C(C3=CC=CC=C3)/C1=CC=C(C=C1)OCCN(C)C.OC(C(O)=O)(CC(O)=O)CC(O)=O,non-carcinogenic
NC1=CC=C(C=C1)Cl,non-carcinogenic
C1=C2C(=CC=C1NC3=CC=C(C=C3)NC4=CC=C5C(=C4)C=CC=C5)C=CC=C2,non-carcinogenic
C1=C2C(=CC=C1NC3=CC=CC=C3)C=CC=C2,non-carcinogenic
O=CCBr,non-carcinogenic
CC1=C(C=C(C=C1)[N+](=O)[O-])[N+](=O)[O-],non-carcinogenic
C1=CC=C2C(=C1)C=C(C=C2)C(CNC(C)C)O,non-carcinogenic
CC1(C(=C(CCC1)C)C=CC(=CC=CC(=CC(=O)O)C)C)C,non-carcinogenic
NC(CCCN)(C(=O)O)C(F)F,non-carcinogenic
O=C(O)[C@H](CS)N.Cl,non-carcinogenic
N(CC(=O)[O-])CC(=O)O.[Na+],non-carcinogenic
C1(C(NCC2CCCCN2)=O)=C(C=CC(=C1)OCC(F)(F)F)OCC(F)(F)F.CC(=O)O,non-carcinogenic
CC(=O)O[Sn](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,non-carcinogenic
O=C(C(C)=C2C)C(C(CCCCCC(O)=O)C1=CC=CC=C1)=C(C)C2=O,non-carcinogenic
NC(C(=O)O)CCSC,non-carcinogenic
C13CC(C4C3O4)C2C1C5C(O5)C2,non-carcinogenic
CN(C=O)C,non-carcinogenic
C1=CC=C5C(=C1)N(CC2=CC=C(F)C=C2)C(NC4CCN(CCC3=CC=C(OC)C=C3)CC4)=N5,non-carcinogenic
CC1(C2=CC=CC=C2)C(O1)C(=O)OCC,non-carcinogenic
C1=C(C=CC=C1)C2=CC=CC=C2,non-carcinogenic
NC1(=CC=C(C=C1)NC2=CC=CC=C2).[H]Cl,non-carcinogenic
CC1(C(=C(CCC1)C)C=CC(=CC=CC(=CCOC(=O)CCCCCCCCCCCCCCC)C)C)C,non-carcinogenic
NC1=C(C)C=C(N)C=C1.O=S(O)(O)=O,non-carcinogenic
O[As](=O)(C1=CC(=C(C=C1)O)[N+](=O)[O-])O,non-carcinogenic
NC(=S)NN,non-carcinogenic
CC1=CC=CC(C)=C1,non-carcinogenic
N=C\2/N=C3/O[C@H]1[C@H](O)[C@@H](CO)O[C@H]1N3/C=C/2,non-carcinogenic
C1(C2=CC=C(C(=C2)Cl)N=NC(C(C)=O)C(=O)NC3=C(C=C(C(=C3)OC)Cl)OC)=CC(=C(C=C1)N=NC(C(C)=O)C(=O)NC4=CC(=C(C=C4OC)Cl)OC)Cl,non-carcinogenic
C(CCC(=O)O)([O-])=O.[Na+],non-carcinogenic
C1(CCNC(NC(N)=N)=N)=CC=CC=C1.[H]Cl,non-carcinogenic
CC(=O)O[Hg]C1=CC=CC=C1,non-carcinogenic
C1(CCCCC1[N+]).O=S(=O)([O-])O,non-carcinogenic
C1(C(OCC(C)C)=O)=CC=C(O)C=C1,non-carcinogenic
O.O=C(Nc3cccc1c3O/C(=C\C1=O)C2=N\N\N=N2)c5ccc(OCCCCc4ccccc4)cc5.O=C(Nc3cccc1c3O/C(=C\C1=O)/C=2N\N=N/N=2)c5ccc(OCCCCc4ccccc4)cc5,non-carcinogenic
O=S(=O)([O-])[O-].O.[Mn+2],non-carcinogenic
[S-]C1=NC(C=CC=C2)=C2S1.[S-]C3=NC(C=CC=C4)=C4S3.[Zn+2],non-carcinogenic
O=S(=O)(C1=CC=C(C=C1)Cl)NC(=O)NCCC,non-carcinogenic
Nc1cc(Cl)c(N)cc1.OS(O)(=O)=O,non-carcinogenic
C1(C[C@H]([C@@H]([C@H]1CCCCCCC(=O)OC)/C=C/CC(O)(CCCC)C)O)=O,non-carcinogenic
CC1=CC=CC(C=C)=C1,non-carcinogenic
CC(=O)O[C@@H]3CC(=O)O[C@H](C)C\C=C\C=C\[C@H](O)[C@H](C)C[C@H](CC=O)[C@H](O[C@@H]2O[C@H](C)[C@@H](O[C@H]1C[C@@](C)(O)[C@H](OC(=O)CC(C)C)[C@H](C)O1)[C@H](N(C)C)[C@H]2O)C3OC,non-carcinogenic
S=C(N1CCCCC1)SSSSSSC(=S)N1CCCCC1,non-carcinogenic
ClC6C4(Cl)C3C1C5C(C3C2OC12)C4(Cl)C(Cl)(Cl)C56Cl,non-carcinogenic
NC1=NC(=NC(=N1)N)C2=CC=CC=C2,non-carcinogenic
C1(CCCCC1)N.[H]Cl,non-carcinogenic
CC(=O)O[C@H]\1CC[C@H]4C(=C/1)/CC[C@@H]2[C@@H]4CC[C@]3(C)[C@@](CC[C@@H]23)(C#C)OC(C)=O,non-carcinogenic
OC(=O)CCCC\C=C(\c1cccnc1)c2ccccc2,non-carcinogenic
CN1CCN(CC1)/C2=N/C3=CC=CC=C3SC4C=CC(C)=CC2=4,non-carcinogenic
FC(Cl)(Cl)Cl,non-carcinogenic
c1(n(cnc1)C)C[C@@H]2[C@@H](C(=O)OC2)CC,non-carcinogenic
C1(=C(C=CC(=C1)NC(N(CC)CC)=O)OCC(CNC(C)(C)C)O)C(C)=O,non-carcinogenic
N(C)(C)C([S-])=S.[Fe+3].[S-]C(=S)N(C)C.[S-]C(=S)N(C)C,non-carcinogenic
S=P(OC1=CC=C(C=C1)[N+](=O)[O-])(OCC)OCC,non-carcinogenic
CC1=C(Cl)C(=O)OC2=C1C=CC(=C2)OP(=S)(OCC)OCC,non-carcinogenic
N(C1=CC=C(C=C1)NC2=CC=CC=C2)C3=CC=CC=C3,non-carcinogenic
[Cd+2].[Cd+2].[Cd+2].[O-]S(=O)(=O)[O-].[O-]S([O-])(=O)=O.[O-]S([O-])(=O)=O.O.O.O.O.O.O.O.O,non-carcinogenic
CC1=C(SSC1=S)C2=CN=CC=N2,non-carcinogenic
CC=C,non-carcinogenic
C1(=CC=CC=C1)C(=O)[O-].[Na+],non-carcinogenic
C12C(=CC=CC=1NCCN)C=CC=C2.[H]Cl.[H]Cl,non-carcinogenic
C1CCNCC1,non-carcinogenic
N#CC(C1=CC=CC=C1)C2=CC=CC=C2,non-carcinogenic
C1(CSCCNC(NC)=NC#N)=C(C)NC=N1,non-carcinogenic
CC(OC(=O)OC1CCCCC1)OC(=O)c5cccc6nc(OCC)n(Cc2ccc(cc2)c3ccccc3C\4=N\N=N/N/4)c56,non-carcinogenic
N#[N+][O-],non-carcinogenic
[Ni],non-carcinogenic
CC#N,non-carcinogenic
CC(=O)NNC(=O)C,non-carcinogenic
CN(C)CCN(CC1=CC=CO1)C2=CC=CC=N2,non-carcinogenic
NCCS(O)(=O)=O,non-carcinogenic
C1CCCNCCC1,non-carcinogenic
Cl.O=C(c2cn(C)c1ccccc12)[C@H]3CC=4N\C=N/C=4CC3,non-carcinogenic
.[Cl-].[Fe+3].[Cl-].[Cl-],non-carcinogenic
Cl.CN(C)[C@@H]2C(\O)=C(\C(N)=O)C(=O)[C@@]3(O)C(/O)=C4/C(=O)c1c(cccc1O)[C@@](C)(O)[C@H]4C[C@@H]23,non-carcinogenic
OCCOCCOC1=CC=C(CCCCCCCCC)C=C1,non-carcinogenic
ClC1=C(C=CC(=C1)Cl)OS(=O)(=O)C2=CC=CC=C2,non-carcinogenic
[Ca+2].[N-2]C#N,non-carcinogenic
CC(=C)C#N,non-carcinogenic
N(N(CC(O)=O)CC(O)=O)=O,non-carcinogenic
C1C(CC(CC1(OOC(C)(C)C)OOC(C)(C)C)(C)C)C,non-carcinogenic
CC(Cl)(Cl)Cl,non-carcinogenic
CC(Cl)Cl,non-carcinogenic
COc3cc4CC[C@@H]1[C@H](CC[C@]2(C)[C@@](O)(CC[C@@H]12)C#C)c4cc3,non-carcinogenic
C2=C(N)C=CC(S(=O)(=O)NC1ON=C(C)C=1C)=C2,non-carcinogenic
CN1C2=C(C=C(C=C2)Cl)C(=NCC1=O)C3=CC=CC=C3,non-carcinogenic
O=C(NC1=CC=CC=C1)OC(C)C,non-carcinogenic
CN(CCC2)[C@@H]2[C@]1=CN=CC=C1.Cl,non-carcinogenic
[Cl-].OC[P+](CO)(CO)CO,non-carcinogenic
C=C(Cl)C=C,non-carcinogenic
O=[C@](O[C@H](O[C@H](CO)[C@H]1O)[C@H](O)[C@H]1O)[C@@]5(C)[C@](CC3)([H])[C@](CCC5)(C)[C@@](CC4)([H])[C@@](C2)3C[C@]4(O[C@H]6[C@H](O[C@H]7[C@H](O)[C@@H](O)[C@H](O)[C@@H](CO)O7)[C@@H](O)[C@H](O)[C@@H](CO)O6)[C@@]2=C,non-carcinogenic
CBr,non-carcinogenic
N#[N+]C1=CC=CC=C1.F[B-](F)(F)F,non-carcinogenic
NC(=O)CC1=C2C(=CC=C1)C=CC=C2,non-carcinogenic
NC(=O)C1=NC=CN=C1,non-carcinogenic
NC(=O)CCCCC(=O)N,non-carcinogenic
Cl\C2=C(/Cl)C3(Cl)C1COS(=O)OCC1C2(Cl)C3(Cl)Cl,non-carcinogenic
NC(=O)C1=C(C=CC=C1)C(=O)N,non-carcinogenic
CN1C2=CC=C(C=C2C(=NC(C1=O)O)C3=CC=CC=C3)Cl,non-carcinogenic
NC(=O)C1=CC=NC=C1,non-carcinogenic
CC(=O)O[Sn](OC(=O)C)(CCCC)CCCC,non-carcinogenic
IC(I)I,non-carcinogenic
C=CC=O,non-carcinogenic
NC(=S)NC1=C2C(=CC=C1)C=CC=C2,non-carcinogenic
ClC(C(C1=CC=C(C=C1)OC)C2=CC=C(C=C2)OC)(Cl)Cl,non-carcinogenic
C12=C(C(=O)NS1(=O)=O)C=CC=C2,non-carcinogenic
CN(C)CCN(CC1=CC=CS1)C2=CC=CC=C2,non-carcinogenic
C12(C(=C(/N=N/C3=C(C4=C(C(=C3)S(=O)(=O)[O-])C=CC=C4)O)C=CC=1S(=O)(=O)[O-])C=CC=C2).[Na+].[Na+],non-carcinogenic
S=C(S[Se](SC(=S)N(C)C)(SC(=S)N(C)C)SC(=S)N(C)C)N(C)C,non-carcinogenic
NC(=N)NC#N,non-carcinogenic
N1=CC=CC2=CC=CC(=C12)O[Cu]OC3=CC=CC4=CC=CN=C34,non-carcinogenic
C12C(C3C(CC1C3)NC(N(C)C)=O)CCC2,non-carcinogenic
C1=CC(=CC=C1NNC(CC[C@@H](C(O)=O)N)=O)CO,non-carcinogenic
N12([C@@H]([C@@H](C1=O)NC(COC3=CC=CC=C3)=O)SC([C@@H]2C(=O)[O-])(C)C).[K+],non-carcinogenic
N1=C(SC2=C1C=CC=C2)SN3CCOCC3,non-carcinogenic
CN(C)C(C)=O,non-carcinogenic
C([O-])(C)=O.[O-]C(C)=O.[Ni+2],non-carcinogenic
N1=C(SNC2CCCCC2)SC3=C1C=CC=C3,non-carcinogenic
O=[N+](C1=CC=C(C=C1)N)[O-],non-carcinogenic
N1C2=C(C=CC=C2)SC3=CC=CC=C13,non-carcinogenic
