STRUCTURE_SMILES,ActivityOutcome_CPDBAS_Rat
C\1=C/C(O[C@@H](C/C=C/C=C/C=C/C=C/[C@@H](C[C@@H]3O[C@](C[C@H](C[C@H]2O[C@H]/12)O)(C[C@@H]([C@H]3C(O)=O)O)O)O[C@@H]4O[C@@H]([C@H]([C@@H]([C@@H]4O)N)O)C)C)=O,non-carcinogenic
O=[C@](O[C@H](O[C@H](CO)[C@H]1O)[C@H](O)[C@H]1O)[C@@]5(C)[C@](CC3)([H])[C@](CCC5)(C)[C@@](CC4)([H])[C@@](C2)3C[C@]4(O[C@H]6[C@H](O[C@H]7[C@H](O)[C@@H](O)[C@H](O)[C@@H](CO)O7)[C@@H](O)[C@H](O)[C@@H](CO)O6)[C@@]2=C,non-carcinogenic
S=C(S[Te](SC(=S)N(CC)CC)(SC(=S)N(CC)CC)SC(=S)N(CC)CC)N(CC)CC,non-carcinogenic
ClC(=CCl)Cl,non-carcinogenic
O=CCCCC=O,non-carcinogenic
O=C(O[C@@H]2C[C@@H](CC3)N(C)[C@H]3C2)C(CO)C1=CC=CC=C1,non-carcinogenic
O\C1=C(/OCC(=O)CCCCCCCCCCCC)[C@H](OC1=O)[C@@H](O)CO,non-carcinogenic
[Na+].C1(=CC=C2C(=C1S([O-])(=O)=O)C=CC=C2)/N=N/C3=C(C=CC4=C3C=CC=C4)O,non-carcinogenic
ClC(C(=O)O)(Cl)Cl,non-carcinogenic
C1(=C(/C=C/C2=C(S(=O)(=O)[O-])C=C(C=C2)N)C=CC(=C1)N)S(=O)(=O)[O-].[Na+].[Na+],non-carcinogenic
C=C(F)F,non-carcinogenic
C=C/C=N/O,non-carcinogenic
N(CC(=O)[O-])CC(=O)O.[Na+],non-carcinogenic
NS(C1=C(Cl)C=C(NCC2=CC=CO2)C(C(O)=O)=C1)(=O)=O,non-carcinogenic
O=CC=C(CCC=C(C)C)C,non-carcinogenic
ClC(C(C1=CC=C(C=C1)CC)C2=CC=C(C=C2)CC)Cl,non-carcinogenic
FC(Cl)(Cl)Cl,non-carcinogenic
O=C(NN)OC,non-carcinogenic
N(C(=O)N)(N=O)CC(C)=O,non-carcinogenic
CCCCCN(N=O)C(=N)N[N+]([O-])=O,non-carcinogenic
O=C(NCO)C=C,non-carcinogenic
NC(=S)NN,non-carcinogenic
O=C(NC1=CC=CC(=C1)Cl)OC(C)C,non-carcinogenic
O=C(N[C@@H]([C@H](OC([C@@H]5[C@@H](C)C)=O)C)C(N[C@H]([C@@H](C)CC)C(N4CCC[C@@](C(N(C)CC(N5C)=O)=O)4[H])=O)=O)C(C(C(OC2=C(C)C=C3)=C(C)C1=O)=NC2=C3C(N[C@@H]([C@H](OC([C@@H]7[C@H](C)C)=O)C)C(N[C@H](C(C)C)C(N6CCC[C@@](C(N(C)CC(N7C)=O)=O)6[H])=O)=O)=O)=C1N,non-carcinogenic
O=C(N)NC(C(CC)CC)=O,non-carcinogenic
O=C(NC1=CC=CC(=C1)C(F)(F)F)N(C)C,non-carcinogenic
O[C@@H]([C@H](O)[C@H](O)CO)[C@H](O)CO,non-carcinogenic
Cl.O=C(c2cn(C)c1ccccc12)[C@H]3CC=4N\C=N/C=4CC3,non-carcinogenic
ClC(Br)Br,non-carcinogenic
O=C1C2=C(C=CC=C2)C(=O)O1,non-carcinogenic
ClC2(Cl)C1(Cl)C(=C)C(CCl)(CCl)C2(Cl)C(Cl)C1Cl,non-carcinogenic
S=C=NCC1=CC=CC=C1,non-carcinogenic
CC1(C(=C(CCC1)C)C=CC(=CC=CC(=CCOC(=O)CCCCCCCCCCCCCCC)C)C)C,non-carcinogenic
C(O)(=O)[O-].[Na+],non-carcinogenic
C1N2CN3CN(C2)CN1C3,non-carcinogenic
CCC1(C2=C(C3=C(C(=CC=C3)CC)N2)CCO1)CC(=O)O,non-carcinogenic
OC(C(C=CC=C1)=C1S(N2C)(=O)=O)=C2C(NC3=NC=C(C)S3)=O,non-carcinogenic
CC1=C(C(=CC(=C1)OC(=O)NC)C)N(C)C,non-carcinogenic
O=C1CCCCC1,non-carcinogenic
NC1=NC(C(C2=CC=CC=C2)O1)=O.O[Mg]O,non-carcinogenic
C(CCC(=O)O)([O-])=O.[Na+],non-carcinogenic
O=C1CCCCCN1,non-carcinogenic
O=S(=O)([O-])[O-].O.O.O.O.O.O.[Ni+2],non-carcinogenic
O=C1C2=C(N=CN2C)N(C(=O)N1C)C,non-carcinogenic
c12[C@H]([C@@H](C(=O)NNCC)[C@@H]([C@H](c1cc3c(c2)OCO3)O)CO)c4cc(c(c(c4)OC)OC)OC,non-carcinogenic
C1=C(Cl)C=C3C(=C1)N(CCO)C(=O)C(O)N=C3C2=CC=CC=C2F,non-carcinogenic
CC1=C(C(=C(C2=C1OC(CCCC(CCCC(CCCC(C)C)C)C)(C)CC2)C)O)C,non-carcinogenic
C[C@H](C\C=C\C)[C@@H](O)[C@@H]1N(C)C(=O)[C@H](C(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](C)NC(=O)[C@H](C)NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](NC(=O)[C@H](CC(C)C)N(C)C(=O)CN(C)C(=O)[C@H](CC)NC1=O)C(C)C,non-carcinogenic
N1C(=NC(=C2C=CC=CC=12)N(CCO)CCO)C3=CC=CS3,non-carcinogenic
O=C1C(=CNC(=O)N1)F,non-carcinogenic
ClC(=C(C1=CC=C(C=C1)Cl)C2=CC=C(C=C2)Cl)Cl,non-carcinogenic
C[Hg]Cl,non-carcinogenic
ClC(C(Cl)Cl)Cl,non-carcinogenic
CC1(C2=CC=CC=C2)C(O1)C(=O)OCC,non-carcinogenic
O=C/C=C/C1=CC=CC=C1,non-carcinogenic
C1(C(NCC2CCCCN2)=O)=C(C=CC(=C1)OCC(F)(F)F)OCC(F)(F)F.CC(=O)O,non-carcinogenic
O1C(=O)/C2=C(\C3=C1C=C(C=C3OC)OC)CCC2,non-carcinogenic
C[C@]12[C@@]3(C(OC4[C@@]1(C(C(=O)C(=C4)C)O)CO)[C@@H]([C@@H]2OC(=O)C)O)CO3,non-carcinogenic
O=C1C=CC(=O)NN1,non-carcinogenic
Cl\C2=C(/Cl)C3(Cl)C1C4CC(C1C2(Cl)C3(Cl)Cl)C5OC45,non-carcinogenic
Cl\C2=C(/Cl)C3(Cl)C1COS(=O)OCC1C2(Cl)C3(Cl)Cl,non-carcinogenic
C[C@@H](CC)C(=O)O[C@H]2C[C@@H](C)\C=C3\C=C/[C@H](C)[C@H](CC[C@@H]1C[C@@H](O)CC(=O)O1)[C@@H]23,non-carcinogenic
O=C1C(C2=CC=CC=C2)(C(=O)NC(=O)N1)CC,non-carcinogenic
O=C1C(C2=C(C(O)=C3C)C(O)=C(NC(\C(C)=C/C=C/[C@@H]5C)=O)C(/C=N/N4CCN(C)CC4)=C2O)=C3O[C@@](C)1O/C=C/[C@H](OC)[C@@H](C)[C@@H](OC(C)=O)[C@H](C)[C@H](O)[C@H](C)[C@H]5O,non-carcinogenic
O=C(C1=CCCN(N=O)C1)OC,non-carcinogenic
O=C1C(C2=CC=CC=C2)(C3=CC=CC=C3)NC(=O)N1,non-carcinogenic
CC(=O)OC(C1=CC=C(O1)[N+](=O)[O-])OC(=O)C,non-carcinogenic
OC2=C1[C@@](C=C(C)CC3)([H])[C@]3([H])C(C)(C)OC1=CC(CCCCC)=C2,non-carcinogenic
Oc1ccc(C[C@](C)(N)C(O)=O)cc1O.OC(=O)[C@@](C)(N)Cc1cc(O)c(O)cc1.O.O.O,non-carcinogenic
OC2=CC1=C(C(O)=C2)C(C(O[C@@H]4O[C@@H]([C@H]([C@H](O)[C@H]4O)O)CO[C@H]3[C@H](O)[C@H](O)[C@H]([C@H](C)O3)O)=C(C5=CC(O)=C(C=C5)O)O1)=O,non-carcinogenic
Oc1ccc(cc1OC)/C=C/C(=O)OCCc2ccccc2,non-carcinogenic
OC1C2=C3C(C(OC4C3=C(C=C(C=4O)O)C(=O)O2)=O)=CC=1O,non-carcinogenic
O=C(C(O)(C2=CC=CC=C2)C1CCCCC1)OC(C)(C)C#CCN(CC)CC.O.Cl,non-carcinogenic
CCC(CCCC)CO,non-carcinogenic
Clc1ccc(cc1)c2ccc(COC(C)(C)C(O)=O)cc2,non-carcinogenic
OCCN(CCO)CCO,non-carcinogenic
OCC1=CC=CC=C1,non-carcinogenic
OCC(O)CO,non-carcinogenic
O=C(C1=CC=CC=C1)OOC(=O)C2=CC=CC=C2,non-carcinogenic
C1OC1C2CO2,non-carcinogenic
S=C=NCCCCCCC1=CC=CC=C1,non-carcinogenic
OCC(=O)[C@@]4(O)[C@H](C)C[C@@H]1[C@]4(C)C[C@H](O)[C@]2(F)[C@@]3(C)/C=C\C(=O)/C=C3/CC[C@@H]12,non-carcinogenic
O=C1N2C(C3=C(C=CC=C3)CC2)CN(C1)C(=O)C4CCCCC4,non-carcinogenic
CN(N=O)C1=CC=C(C=C1)[N+]([O-])=O,non-carcinogenic
CC3=CC=C(C=C3)\C(C2=CC=CC=N2)=C/CN1CCCC1.O.Cl,non-carcinogenic
[Na+].CN(C)c1ccc(/N=N/S([O-])(=O)=O)cc1,non-carcinogenic
C(C1=CC=C(O)C=C1)(C)(C)C,non-carcinogenic
C=CC=O,non-carcinogenic
NC(=O)CI,non-carcinogenic
OC1=C(C=CC(=C1)O)CCCCCC,non-carcinogenic
CCCC(Cl)CCC(Cl)CCC(Cl)CCC(Cl)CCC(Cl)CCC(Cl)CCC(Cl)C,non-carcinogenic
OC(=O)C=C,non-carcinogenic
OC1=C(C=CC(=C1)CC(C(=O)O)N)O,non-carcinogenic
C1(C)(C)C(=O)NC(=O)NC1=O,non-carcinogenic
ClC1=CC(C2=CC(Cl)=CC(Cl)=C2)=CC(Cl)=C1,non-carcinogenic
[Na+].[N-]=[N+]=[N-],non-carcinogenic
[Na+].[O-]C(=O)[C@@H](N)CC(O)=O,non-carcinogenic
OC1=CC=CC2=CC=CN=C12,non-carcinogenic
[Na+].[F-],non-carcinogenic
O=C1C2=C(C=C(C=C2O)O)OC(=C1O)C3=CC=C(C=C3)O,non-carcinogenic
[Na+].[O-]S(=O)(=O)c4ccc(c1c3cc(C)c(cc3[o+]c2cc(c(C)cc12)N(CC)CC)N(CC)CC)c(c4)S([O-])(=O)=O,non-carcinogenic
OC1=CC(=CC=C1O)CCN.[H]Cl,non-carcinogenic
CC1=C(SSC1=S)C2=CN=CC=N2,non-carcinogenic
OC1=CC(C2=NC(N(C(C)C)C3=C2C=CC(C)=C3)=O)=CC=C1,non-carcinogenic
C(NC)CC(OC1=CC=C(C=C1)C(F)(F)F)C2=CC=CC=C2.[H]Cl,non-carcinogenic
O=C(/C=C\C(=O)OCC)OCC,non-carcinogenic
CC1=CC=CC(C=C)=C1,non-carcinogenic
S=C1NC=NC2=C1N=CN2,non-carcinogenic
O=C(CC(/C=C/C2=CC=C(O)C(OC)=C2)=O)/C=C/C1=CC=C(O)C(OC)=C1,non-carcinogenic
O=C(OC)C1=C(C)NC(C)=C(C(OCCC3=CC=C(N4CCN(C(C6=CC=CC=C6)C5=CC=CC=C5)CC4)C=C3)=O)C1C2=CC([N+]([O-])=O)=CC=C2.Cl.Cl,non-carcinogenic
S=C(NC1CCCCC1)NC1CCCCC1,non-carcinogenic
ClC1=C(C(=C(C(=C1Cl)Cl)Cl)Cl)C(=C(Cl)Cl)Cl,non-carcinogenic
C(S(=O)(=O)[O-])CS.[Na+],non-carcinogenic
CCCC[Sn](O[Sn](CCCC)(CCCC)CCCC)(CCCC)CCCC,non-carcinogenic
CC(=O)[O-].[O-]C(=O)C.[O-]C(=O)C.[Cr+3],non-carcinogenic
S=P(SC1C(SP(=S)(OCC)OCC)OCCO1)(OCC)OCC,non-carcinogenic
O=C(O)Cc1ccc(cc1)NC(C)=O,non-carcinogenic
S1C=CC(=C1)CN(C2=NC=CC=C2)CCN(C)C,non-carcinogenic
S=P(SCC(=O)NC)(OC)OC,non-carcinogenic
S=P(OC1=NC(=C(C=C1Cl)Cl)Cl)(OCC)OCC,non-carcinogenic
O=C1N(C2=CC=CC=C2)N=C(C1)C,non-carcinogenic
.[Na+].[Cl-],non-carcinogenic
S=P(OC1=CC=C(C=C1)[N+](=O)[O-])(OCC)OCC,non-carcinogenic
.[K+].[Cl-],non-carcinogenic
CC2(C)CCCC(\C)=C2\C=C\C(\C)=C\C=C\C(\C)=C\C=C\C=C(/C)\C=C\C=C(/C)\C=C\C1=C(/C)CCCC1(C)C,non-carcinogenic
[Cl-].OC[P+](CO)(CO)CO,non-carcinogenic
P,non-carcinogenic
[Cl-].[Ba+2].[Cl-].O.O,non-carcinogenic
O[As](O)(C)=O,non-carcinogenic
CC(CCl)OC(C)CCl,non-carcinogenic
OCCNC1=C(OCCO)C=C([N+]([O-])=O)C=C1,non-carcinogenic
OCCOCCOC1=CC=C(CCCCCCCCC)C=C1,non-carcinogenic
Cl.Cl.[O-][N+](=O)c1cccc(c1)C/2C(\C(=O)OC)=C(\C)NC(\C)=C\2C(=O)OCCN3CCN(CC3)C(c4ccccc4)c5ccccc5,non-carcinogenic
S=C(NC)NC,non-carcinogenic
[Ca+2].[N-2]C#N,non-carcinogenic
S=C(N(C)C)SSC(=S)N(C)C,non-carcinogenic
CC1=CC=CC(C)=C1,non-carcinogenic
S=C(N(CC)CC)SSC(=S)N(CC)CC,non-carcinogenic
O=S(=O)(C1=CC=C(C=C1)C(=O)O)N(CCC)CCC,non-carcinogenic
[Cd+2].[Cl-].[Cl-].[H]O[H],non-carcinogenic
O=C(OCC)C4=C(C=CC=C4)C(C(C=C(C)C(NCC)=C3)=C3O1)=C(C=C2C)C1=C/C2=N/CC.Cl,non-carcinogenic
[Cd+2].[Cd+2].[Cd+2].[O-]S(=O)(=O)[O-].[O-]S([O-])(=O)=O.[O-]S([O-])(=O)=O.O.O.O.O.O.O.O.O,non-carcinogenic
S=C([S-])NCCNC([S-])=S.[Zn+2],non-carcinogenic
O=C(N1)N(C2OCCC2)C=C(F)C1=O,non-carcinogenic
OC(=O)[C@]3(C)C[C@H]4/C5=C/C(=O)[C@H]2[C@@](C)(CC[C@@H]1[C@]2(C)CC[C@H](O)C1(C)C)[C@]5(C)CC[C@@]4(C)CC3,non-carcinogenic
CC(C1=CC(=C(C=C1O)C)SC2=CC(=C(C=C2C)O)C(C)(C)C)(C)C,non-carcinogenic
[O-][N+](C1=CC([N+]([O-])=O)=CC([N+]([O-])=O)=C1)=O,non-carcinogenic
CCCCCCCN,non-carcinogenic
CC(CNCC(C)O)O,non-carcinogenic
O=S(C1=CC=C(C(C)CCCCCCCCCC)C=C1)([O-])=O.[Na+],non-carcinogenic
CCCCCl,non-carcinogenic
O1C2=C(C=CC=C2)OC3=CC=CC=C13,non-carcinogenic
[O-][N+](C)(C)CCCCCCCCCC,non-carcinogenic
OC(=O)CC[N+](=O)[O-],non-carcinogenic
CC(=O)O[Sn](OC(=O)C)(CCCC)CCCC,non-carcinogenic
OC(=O)CCCC\C=C(\c1cccnc1)c2ccccc2,non-carcinogenic
OC(=O)CCC(=O)OCC2(CCCC)C(=O)N(c1ccccc1)N(C2=O)c3ccccc3,non-carcinogenic
OC(=O)C1=CC=CC=C1,non-carcinogenic
OC(=O)C1=NN(C2=C1C=CC=C2)CC3=CC=C(C=C3Cl)Cl,non-carcinogenic
C1(=CC=C2C(=C1)S([N-]C2=O)(=O)=O).C3(=CC=C4C(=C3)S([N-]C4=O)(=O)=O).[Ca+2],non-carcinogenic
O.O.O.O.NC(=O)[C@@H]3CCCN3C(=O)[C@@H](NC(=O)[C@@H]1CC(=O)N(C)C(=O)N1)C\C2=C\N=C/N2,non-carcinogenic
C1(C2=CC=CC=C2)=CC(=C(C=C1)N)O,non-carcinogenic
CN(C)[C@@H]2/C=C\CC[C@@]2(c1ccccc1)C(=O)OCC.OC(=O)\C=C\C(O)=O,non-carcinogenic
O=S(=O)(C1=CC=C(C=C1)Cl)NC(=O)NCCC,non-carcinogenic
NC(=O)C1=NC=CN=C1,non-carcinogenic
O=[N+](C1=CC2=CC=CN=C2C=C1)[O-],non-carcinogenic
O=S(=O)(C1=CC=C(C=C1)C)NC(=O)NN2CCCCCC2,non-carcinogenic
O=S(=O)(C1=CC=C(C=C1)C(=O)C)NC(=O)NC2CCCCC2,non-carcinogenic
CCCl,non-carcinogenic
O=S(=O)(C1=CC=C(C=C1)C)NC(=O)NCCCC,non-carcinogenic
ClC4=C(C=CC=C4)C2=NC(C)C1=NN=C(C)N1C3=C2C=C(CCC5=CC=C(CC(C)C)C=C5)S3,non-carcinogenic
[O-][N+](C1=CC=CC(C2C(C(OC3CN(C(C5=CC=CC=C5)C4=CC=CC=C4)C3)=O)=C(NC(C)=C2C(OC(C)C)=O)N)=C1)=O,non-carcinogenic
O[C@H]1[C@@H](NC(CO)CO)C[C@](O)(CO)[C@@H](O)[C@@H]1O,non-carcinogenic
O=S1(=O)C2=C(C=C(C(=C2)S(=O)(=O)N)Cl)NCN1,non-carcinogenic
[O]N=O,non-carcinogenic
ClC1=C(C=C(C=C1)[N+](=O)[O-])[N+](=O)[O-],non-carcinogenic
[O-][N+](/C=C/C1=CC=CC=C1)=O,non-carcinogenic
NC(=O)NCCCC,non-carcinogenic
N#CSCC1=CC=CC=C1,non-carcinogenic
O=S(O)(O)=O.C1(=CC=CC=C1CC(N)C).C2=CC=CC=C2CC(N)C,non-carcinogenic
CCCCOCCO,non-carcinogenic
OC1=C(C(=O)NC2=NC=CC=C2)N(S(=O)(=O)C3=C1C=CC=C3)C,non-carcinogenic
OC1=CC=CC=C1,non-carcinogenic
C1=CC=C(C=N1)N(N=O)C,non-carcinogenic
C13CC(C4C3O4)C2C1C5C(O5)C2,non-carcinogenic
Nc(c(ccc1)C)c1C,non-carcinogenic
CCCCC/C=C\C/C=C\CCCCCCCC(OC)=O,non-carcinogenic
C1(C2=C(C=CC=C2)N)(=CC=CC=C1).[H]Cl,non-carcinogenic
CC=C,non-carcinogenic
OC=1[C@H](OC(=O)C=1O)[C@@H](O)CO,non-carcinogenic
OC[P+](CO)(CO)CO.[O-]S([O-])(=O)=O.OC[P+](CO)(CO)CO,non-carcinogenic
N1C(=NC2=C1C=CC=C2)C3=CSC=N3,non-carcinogenic
O.[Na+].O.O.CCN(CC)C([S-])=S,non-carcinogenic
OC1=C(C=C(C=C1C(C)(C)C)C(C)(C)C)C(C)(C)C,non-carcinogenic
OC1=C(C=C(C=C1C(C)(C)C)CO)C(C)(C)C,non-carcinogenic
OC1=C(C=C(C=C1C(C)(C)C)C)CC2=CC(=CC(=C2O)C(C)(C)C)C,non-carcinogenic
CC1=CC2=CC=CN=C2C=C1,non-carcinogenic
O=CC1CO1,non-carcinogenic
OC1=C(C=C(C(=C1CC2=C(C(=CC(=C2Cl)Cl)Cl)O)Cl)Cl)Cl,non-carcinogenic
OC1=C(C=C(C=C1)Cl)CC2=CC=CC=C2,non-carcinogenic
N1(CSCSC1)N=O,non-carcinogenic
OC(C)C,non-carcinogenic
NC1(=CC=C(C=C1)NC2=CC=CC=C2).[H]Cl,non-carcinogenic
[O-][N+](=O)CCCC,non-carcinogenic
OC1(=C(O)C(=O)O[C@H]1[C@@H](C[O-])O).[Na+],non-carcinogenic
O=C(C3=CC=C6C2=C34)C1=CC=CC=C1C4=CC=C2C(C5=CC=CC=C56)=O,non-carcinogenic
OC(=O)CCl,non-carcinogenic
OC(=O)CCCCCN,non-carcinogenic
CC(Cl)Cl,non-carcinogenic
CCCCCC(/C=C/C=C\CCCCCCCC(=O)OC)OO,non-carcinogenic
CC1=CC=CC2=CC=CN=C12,non-carcinogenic
O=C(O)[C@@H](N)CC1=CNC2=C1C=CC=C2,non-carcinogenic
S=C=NCCCC1=CC=CC=C1,non-carcinogenic
OC(COC1=CC=CC2=C1C=CC=C2)CNC(C)C.[H]Cl,non-carcinogenic
OC(COC(C)(C)C)C,non-carcinogenic
[O-][N+](=O)C1=CC=CC(=C1)NC(=O)C2=CC3=CC=CC=C3C(=C2O)/N=N/C4=CC(=CC=C4OC)[N+]([O-])=O,non-carcinogenic
CCCCCC,non-carcinogenic
OC(C1=CC=C(C=C1)Cl)(C2=CC=C(C=C2)Cl)C(=O)OCC,non-carcinogenic
OC(CC(C1)C)C(C1)C(C)C,non-carcinogenic
OC(CC(=O)O)(CC(=O)O)C(=O)O,non-carcinogenic
[O-][N+](OCC(CO[N+]([O-])=O)(CO[N+]([O-])=O)CO[N+]([O-])=O)=O,non-carcinogenic
Cl[O-].[Na+],non-carcinogenic
CC(Cl)CCl,non-carcinogenic
NC(=O)NC1=CC=C(C=C1)C,non-carcinogenic
C1=CC=CC(=C1)C(C(C2=CC=CC=C2)=O)O,non-carcinogenic
NC(=O)CCCCC(=O)N,non-carcinogenic
ClC1=CC(Cl)=C(/N=N/C(C(=O)NC2=C(C=C(C3=CC(C)=C(NC(=O)C(/N=N/C4=C(Cl)C=C(Cl)C=C4)C(=O)C)C=C3)C=C2)C)C(=O)C)C=C1,non-carcinogenic
CC(Cl)(Cl)Cl,non-carcinogenic
NC(=O)CCCCC,non-carcinogenic
O=NN(/C(=N\C#N)NCCSCC1=C(N=CN1)C)C,non-carcinogenic
NC(=S)NNC=O,non-carcinogenic
NC(=S)NC1=CC=CC=C1,non-carcinogenic
O[C@@]2([C@](OC)=O)[C@@]1([H])[C@]([C@](N6CC=C5)([H])[C@]5(CC)[C@H]2OC(C)=O)(CC6)C3=C(C=C(OC)[C@]([C@@]([C@@](OC)=O)(C[C@@H]8CN(C[C@](O)(CC)C8)CC7)C4=C7C(C=CC=C9)=C9N4)=C3)N1C,non-carcinogenic
NC(=S)NNC(=S)N,non-carcinogenic
O=C(NCCCN(CC)CC)CN1N=CC(C3=CC=CC=C3)=C1C2=CC=CC=C2.O=C(O)/C([H])=C([H])/C(O)=O,non-carcinogenic
NC(=S)C1=CC(=NC=C1)CC,non-carcinogenic
C1=CC=C5C(=C1)N(CC2=CC=C(F)C=C2)C(NC4CCN(CCC3=CC=C(OC)C=C3)CC4)=N5,non-carcinogenic
NC(=O)NN=CC1=CC=CO1,non-carcinogenic
C1(=CC=CC=C1)C(=O)[O-].[Na+],non-carcinogenic
O=C1C2=C(C=CC=C2)N=NN1CSP(=S)(OC)OC,non-carcinogenic
OC1=CC(=CC2=C1C(=O)O[C@H](CCCC(=O)CCC/C=C\2)C)O,non-carcinogenic
N12([C@@H]([C@@H](C1=O)NC(COC3=CC=CC=C3)=O)SC([C@@H]2C(=O)[O-])(C)C).[K+],non-carcinogenic
CC1=CC(NC2=C1C=C(C=C2)OCC)(C)C,non-carcinogenic
O=C1[C@](C(O)=C2[C@@]3([H])[C@@](O)(C)C4=C(C(O)=CC=C4)C2=O)(O)[C@]([C@H]3O)([H])[C@H](N(C)C)C(O)=C1C(N)=O.Cl,non-carcinogenic
C1(=C(C(=C(C(=C1N)F)N)F)F)F.[H]Cl.[H]Cl,non-carcinogenic
OC1=C(C=C(C=C1)CC=C)OC,non-carcinogenic
FC(F)Cl,non-carcinogenic
C1(=C(C=CC(=C1)Cl)N)C.[H]Cl,non-carcinogenic
C12=C(C(=O)NS1(=O)=O)C=CC=C2,non-carcinogenic
NC(=O)C1=C(C=CC=C1)C(=O)N,non-carcinogenic
CN(CCC2)[C@@H]2[C@]1=CN=CC=C1,non-carcinogenic
C[C@@H]3O[C@]1(CS3)C2CCN(CC2)C1.C[C@@H]6O[C@]4(CS6)C5CCN(CC5)C4.O.Cl.Cl,non-carcinogenic
CN(C)C(C)=O,non-carcinogenic
NC(=N)NC#N,non-carcinogenic
O=P(OC)(OC)OC,non-carcinogenic
ClCC1=CC=CC=C1,non-carcinogenic
C12(C(=C(/N=N/C3=C(C4=C(C(=C3)S(=O)(=O)[O-])C=CC=C4)O)C=CC=1S(=O)(=O)[O-])C=CC=C2).[Na+].[Na+],non-carcinogenic
O=C1CCCO1,non-carcinogenic
ClCC/C(C2=CC=CC=C2)=C(C3=CC=CC=C3)/C1=CC=C(C=C1)OCCN(C)C.OC(C(O)=O)(CC(O)=O)CC(O)=O,non-carcinogenic
O1C2C1CCC(C2)C1CO1,non-carcinogenic
S=P(OC1=NC(=NC(=C1)C)C(C)C)(OCC)OCC,non-carcinogenic
Clc3cc(Cl)cnc3Oc1ccc(cc1)Oc2ncc(Cl)cc2Cl,non-carcinogenic
C1=C2C(=CC=C1NC3=CC=CC=C3)C=CC=C2,non-carcinogenic
NC1=CC(=CC=C1C)Cl,non-carcinogenic
NC1=C2C(=NC(=N1)N)N=C(C(=N2)C3=CC=CC=C3)N,non-carcinogenic
NC1=C(C=CC=C1)C(=O)O,non-carcinogenic
OC(C(SC(Cl)=C1)=C1S(N2C)(=O)=O)=C2C(NC3=NC=CC=C3)=O,non-carcinogenic
C1=CC(=CC(=C1OCC)[N+]([O-])=O)NC(=O)C,non-carcinogenic
CC#N,non-carcinogenic
C1(=CC(=C(C(=C1C)C)O)C)OCCCCCC,non-carcinogenic
C1=C(C=CC(=C1)C(C2=CC=C(N)C(=C2)C)=C3C=CC(=N)C=C3)N.[H]Cl,non-carcinogenic
C1=C(C=CC=C1N)C.[H]Cl,non-carcinogenic
ClC(F)C(F)(F)F,non-carcinogenic
C(=O)([O-])/C1=C/C(=O)NC(N1)=O.[Na+],non-carcinogenic
OC(CNC(C)C)C1=CC=C(NS(=O)(C)=O)C=C1.[H]Cl,non-carcinogenic
C1=C(Cl)C=C3C(=C1)N4C(CN=C3C2=CC=CC=C2)=NN=C4,non-carcinogenic
ClC1=C(C=CC(=C1)N)C,non-carcinogenic
NC1=CC=C(C=C1)N,non-carcinogenic
ClC1=C(C=CC(=C1)Cl)OCC(=O)O,non-carcinogenic
ClC1=CC(=C(C=C1SC2=CC=C(C=C2)Cl)Cl)Cl,non-carcinogenic
O=C1C(NC(=O)N1)NC(=O)N,non-carcinogenic
OC1C2=CC(=O)OC2=CCO1,non-carcinogenic
ClC1=CC(=C(C=C1C2=C(C=C(C(=C2)Cl)N)Cl)Cl)N,non-carcinogenic
NC(CCCN)(C(=O)O)C(F)F,non-carcinogenic
CC(=O)OCC1=CC=CC=C1,non-carcinogenic
NC(C(=O)O)CCSC,non-carcinogenic
NC(CC1=CNC2=C1C=CC=C2)C(=O)O,non-carcinogenic
O=C2C1=C(CCC2)C(OC[C@@H](O)CNC(C)(C)C)=CC=C1.Cl,non-carcinogenic
ClC1=C(C=CC=C1)Cl,non-carcinogenic
C1=CC(=CC=N1)N(N=O)C,non-carcinogenic
C[N+](CCC(C1=CC=C(C=C1)Cl)C2=NC=CC=C2)C.C(\C(=C(/C(=O)[O-])[H])[H])(=O)O,non-carcinogenic
CC(CN(CC(C)O)CC(C)O)O,non-carcinogenic
O=C1C2=C(C=C(C=C2O)O)O/C(=C\1O)C3=CC(=C(C=C3)O)O.O.O,non-carcinogenic
NC1=C(C=C(C=C1Cl)N)Cl,non-carcinogenic
NC1=C(C)C=C(N)C=C1.O=S(O)(O)=O,non-carcinogenic
NC1=C(C(=NC(=N1)N)CC)C2=CC=C(C=C2)Cl,non-carcinogenic
OC(=O)C1=CC(=C(C(=C1)O)O)O,non-carcinogenic
ClC1=C(Cl)C=CC([C@H]2C3=C(C=CC=C3)[C@@H](NC)CC2)=C1.Cl,non-carcinogenic
O[C@@]12[C@]3([H])C(O[C@@](C[C@]5(CC[C@H](C)[C@]([C@@H](C)CC)([H])O5)O4)([H])C[C@@]4([H])C/C=C(C)/[C@@H](O[C@]6([H])O[C@@H](C)[C@H](O[C@@]7([H])C[C@H](OC)[C@@H](O)[C@H](C)O7)[C@@H](OC)C6)[C@@H](C)/C=C/C=C1\CO[C@@]([H])2[C@H](O)C(C)=C3)=O,non-carcinogenic
